raw_kpi_name,row_count,row_ratio,cumulative_row_ratio,unique_component_count,existing_bank_safe_v1_status,source_family,entity_scope,semantic_family,metric_kind,unit_hint,candidate_existing_slot,candidate_new_slot,recommended_action,confidence,transform_hint,reason
OSLinux-OSLinux_MEMORY_MEMORY_NoCacheMemPerc,130345,0.010668194237169889,0.17587898734450727,14,unmapped,OSLinux,host,memory,ratio,percent,mem,,map_safe_v2,high,identity,"Maps to existing slot 'mem'; semantic=memory, unit=percent, source=OSLinux"
OSLinux-OSLinux_MEMORY_MEMORY_UserMem,121488,0.009943285753080636,0.18582227309758792,14,unmapped,OSLinux,host,memory,gauge,unknown,,,manual_review,low,unknown,"semantic=memory, unit=unknown, kind=gauge; cannot auto-classify"
OSLinux-OSLinux_PROCESS_PROCESS_PROCPPMem,119082,0.009746364694853387,0.1955686377924413,14,unmapped,OSLinux,host,process,unknown,unknown,,process_health,requires_new_slot,medium,unknown,"Requires new slot 'process_health'; semantic=process, unit=unknown, source=OSLinux"
OSLinux-OSLinux_MEMORY_MEMORY_CacheMem,118963,0.009736625041516296,0.20530526283395759,14,unmapped,OSLinux,host,memory,gauge,unknown,,,manual_review,low,unknown,"semantic=memory, unit=unknown, kind=gauge; cannot auto-classify"
OSLinux-OSLinux_MEMORY_MEMORY_MEMFreeMem,118949,0.009735479199947225,0.2150407420339048,14,unmapped,OSLinux,host,memory,gauge,unknown,,,manual_review,low,unknown,"semantic=memory, unit=unknown, kind=gauge; cannot auto-classify"
OSLinux-OSLinux_FILE_-tmp-zabbix_agentd.log_FileSizeMB,114436,0.009366108985575,0.2244068510194798,14,unmapped,OSLinux,host,monitoring,gauge,unknown,,,manual_review,low,unknown,"semantic=monitoring, unit=unknown, kind=gauge; cannot auto-classify"
OSLinux-OSLinux_NETWORK_NETWORK_TotalTcpConnNum,107316,0.008783366701876742,0.23319021772135654,14,unmapped,OSLinux,host,network,gauge,count,,os_network,requires_new_slot,medium,log1p,"Requires new slot 'os_network'; semantic=network, unit=count, source=OSLinux"
OSLinux-OSLinux_SWAP_SWAP_So,79669,0.006520575140443346,0.2397107928617999,14,unmapped,OSLinux,host,unknown,unknown,unknown,,,manual_review,low,unknown,"semantic=unknown, unit=unknown, kind=unknown; cannot auto-classify"
OSLinux-OSLinux_SWAP_SWAP_Si,79621,0.006516646540777964,0.24622743940257785,14,unmapped,OSLinux,host,unknown,unknown,unknown,,,manual_review,low,unknown,"semantic=unknown, unit=unknown, kind=unknown; cannot auto-classify"
OSLinux-OSLinux_PROCESS_PROCESS_PROCPPMemPerc,79241,0.006485545126760361,0.2527129845293382,14,unmapped,OSLinux,host,process,ratio,percent,,process_health,requires_new_slot,medium,identity,"Requires new slot 'process_health'; semantic=process, unit=percent, source=OSLinux"
OSLinux-CPU_CPU-0_SingleCpuidle,78710,0.006442084992962077,0.2591550695223003,14,unmapped,OSLinux,host,cpu,unknown,unknown,,,manual_review,low,unknown,"semantic=cpu, unit=unknown, kind=unknown; cannot auto-classify"
OSLinux-CPU_CPU-2_SingleCpuidle,78689,0.006440366230608473,0.2655954357529087,14,unmapped,OSLinux,host,cpu,unknown,unknown,,,manual_review,low,unknown,"semantic=cpu, unit=unknown, kind=unknown; cannot auto-classify"
OSLinux-OSLinux_LOCALDISK_LOCALDISK-sdb_DSKWTps,78689,0.006440366230608473,0.2720358019835172,14,dropped,OSLinux,host,disk,unknown,rate,,disk_io,requires_new_slot,medium,unknown,"Requires new slot 'disk_io'; semantic=disk, unit=rate, source=OSLinux"
OSLinux-OSLinux_LOCALDISK_LOCALDISK-sda_DSKWrite,78679,0.006439547772344852,0.278475349755862,14,dropped,OSLinux,host,disk,unknown,unknown,,disk_io,requires_new_slot,medium,unknown,"Requires new slot 'disk_io'; semantic=disk, unit=unknown, source=OSLinux"
OSLinux-OSLinux_LOCALDISK_LOCALDISK-sda_DSKWTps,78679,0.006439547772344852,0.28491489752820687,14,dropped,OSLinux,host,disk,unknown,rate,,disk_io,requires_new_slot,medium,unknown,"Requires new slot 'disk_io'; semantic=disk, unit=rate, source=OSLinux"
OSLinux-OSLinux_LOCALDISK_LOCALDISK-sdb_DSKRTps,78661,0.006438074547470334,0.2913529720756772,14,dropped,OSLinux,host,disk,unknown,rate,,disk_io,requires_new_slot,medium,unknown,"Requires new slot 'disk_io'; semantic=disk, unit=rate, source=OSLinux"
OSLinux-OSLinux_LOCALDISK_LOCALDISK-sda_DSKRead,78661,0.006438074547470334,0.2977910466231475,14,dropped,OSLinux,host,disk,unknown,unknown,,disk_io,requires_new_slot,medium,unknown,"Requires new slot 'disk_io'; semantic=disk, unit=unknown, source=OSLinux"
OSLinux-OSLinux_LOCALDISK_LOCALDISK-sdb_DSKRead,78659,0.006437910855817609,0.3042289574789651,14,dropped,OSLinux,host,disk,unknown,unknown,,disk_io,requires_new_slot,medium,unknown,"Requires new slot 'disk_io'; semantic=disk, unit=unknown, source=OSLinux"
OSLinux-OSLinux_LOCALDISK_LOCALDISK-sdb_DSKWrite,78658,0.006437829009991247,0.31066678648895635,14,dropped,OSLinux,host,disk,unknown,unknown,,disk_io,requires_new_slot,medium,unknown,"Requires new slot 'disk_io'; semantic=disk, unit=unknown, source=OSLinux"
OSLinux-OSLinux_LOCALDISK_LOCALDISK-sda_DSKRTps,78656,0.0064376653183385235,0.31710445180729485,14,dropped,OSLinux,host,disk,unknown,rate,,disk_io,requires_new_slot,medium,unknown,"Requires new slot 'disk_io'; semantic=disk, unit=rate, source=OSLinux"
OSLinux-OSLinux_SWAP_SWAP_SWPTotSwapUsedPercent,78563,0.0064300536564868465,0.3235345054637817,14,unmapped,OSLinux,host,swap,ratio,percent,,swap_io,requires_new_slot,medium,identity,"Requires new slot 'swap_io'; semantic=swap, unit=percent, source=OSLinux"
OSLinux-OSLinux_LOCALDISK_LOCALDISK-sda_DSKBps,78529,0.006427270898390534,0.3299617763621722,14,dropped,OSLinux,host,disk,rate,bytes,,disk_io,requires_new_slot,medium,log1p,"Requires new slot 'disk_io'; semantic=disk, unit=bytes, source=OSLinux"
OSLinux-OSLinux_LOCALDISK_LOCALDISK-sdb_DSKBps,78505,0.0064253065985578435,0.33638708296073005,14,dropped,OSLinux,host,disk,rate,bytes,,disk_io,requires_new_slot,medium,log1p,"Requires new slot 'disk_io'; semantic=disk, unit=bytes, source=OSLinux"
OSLinux-OSLinux_LOCALDISK_LOCALDISK-sdb_DSKPercentBusy,77811,0.006368505595062536,0.3427555885557926,14,dropped,OSLinux,host,disk,counter,percent,,disk_io,requires_new_slot,medium,delta_then_log1p,"Requires new slot 'disk_io'; semantic=disk, unit=percent, source=OSLinux"
OSLinux-OSLinux_LOCALDISK_LOCALDISK-sda_DSKPercentBusy,77637,0.006354264421275528,0.3491098529770681,14,dropped,OSLinux,host,disk,counter,percent,,disk_io,requires_new_slot,medium,delta_then_log1p,"Requires new slot 'disk_io'; semantic=disk, unit=percent, source=OSLinux"
OSLinux-OSLinux_FILESYSTEM_-tmp_FSCapacity,72439,0.005928829815845253,0.35503868279291334,14,unmapped,OSLinux,host,filesystem,gauge,unknown,,filesystem_usage,requires_new_slot,medium,unknown,"Requires new slot 'filesystem_usage'; semantic=filesystem, unit=unknown, source=OSLinux"
OSLinux-OSLinux_FILESYSTEM_-tmp_FSInodeUsedPercent,72375,0.005923591682958079,0.3609622744758714,14,unmapped,OSLinux,host,filesystem,ratio,percent,,filesystem_usage,requires_new_slot,medium,identity,"Requires new slot 'filesystem_usage'; semantic=filesystem, unit=percent, source=OSLinux"
OSLinux-OSLinux_FILESYSTEM_-_FSCapacity,72360,0.005922363995562647,0.3668846384714341,14,unmapped,OSLinux,host,filesystem,gauge,unknown,,filesystem_usage,requires_new_slot,medium,unknown,"Requires new slot 'filesystem_usage'; semantic=filesystem, unit=unknown, source=OSLinux"
OSLinux-OSLinux_FILESYSTEM_-home_FSCapacity,72306,0.005917944320939093,0.3728025827923732,14,unmapped,OSLinux,host,filesystem,gauge,unknown,,filesystem_usage,requires_new_slot,medium,unknown,"Requires new slot 'filesystem_usage'; semantic=filesystem, unit=unknown, source=OSLinux"
OSLinux-OSLinux_FILESYSTEM_-boot_FSCapacity,72302,0.005917616937633644,0.37872019973000687,14,unmapped,OSLinux,host,filesystem,gauge,unknown,,filesystem_usage,requires_new_slot,medium,unknown,"Requires new slot 'filesystem_usage'; semantic=filesystem, unit=unknown, source=OSLinux"
OSLinux-OSLinux_FILESYSTEM_-cmbc_admin_FSInodeUsedPercent,72291,0.005916716633543661,0.3846369163635505,14,unmapped,OSLinux,host,filesystem,ratio,percent,,filesystem_usage,requires_new_slot,medium,identity,"Requires new slot 'filesystem_usage'; semantic=filesystem, unit=percent, source=OSLinux"
OSLinux-OSLinux_FILESYSTEM_-_FSInodeUsedPercent,72289,0.005916552941890936,0.39055346930544144,14,unmapped,OSLinux,host,filesystem,ratio,percent,,filesystem_usage,requires_new_slot,medium,identity,"Requires new slot 'filesystem_usage'; semantic=filesystem, unit=percent, source=OSLinux"
OSLinux-OSLinux_FILESYSTEM_-cmbc_admin_FSCapacity,72289,0.005916552941890936,0.39647002224733235,14,unmapped,OSLinux,host,filesystem,gauge,unknown,,filesystem_usage,requires_new_slot,medium,unknown,"Requires new slot 'filesystem_usage'; semantic=filesystem, unit=unknown, source=OSLinux"
OSLinux-OSLinux_FILESYSTEM_-home_FSInodeUsedPercent,72289,0.005916552941890936,0.4023865751892233,14,unmapped,OSLinux,host,filesystem,ratio,percent,,filesystem_usage,requires_new_slot,medium,identity,"Requires new slot 'filesystem_usage'; semantic=filesystem, unit=percent, source=OSLinux"
OSLinux-OSLinux_FILESYSTEM_-boot_FSInodeUsedPercent,72286,0.00591630740441185,0.4083028825936351,14,unmapped,OSLinux,host,filesystem,ratio,percent,,filesystem_usage,requires_new_slot,medium,identity,"Requires new slot 'filesystem_usage'; semantic=filesystem, unit=percent, source=OSLinux"
OSLinux-OSLinux_LOCALDISK_LOCALDISK-sdb_DSKTps,67878,0.005555531001807647,0.4138584135954428,14,dropped,OSLinux,host,disk,unknown,rate,,disk_io,requires_new_slot,medium,unknown,"Requires new slot 'disk_io'; semantic=disk, unit=rate, source=OSLinux"
OSLinux-OSLinux_LOCALDISK_LOCALDISK-sdb_DSKReadWrite,67862,0.005554221468585853,0.41941263506402865,14,dropped,OSLinux,host,disk,unknown,unknown,,disk_io,requires_new_slot,medium,unknown,"Requires new slot 'disk_io'; semantic=disk, unit=unknown, source=OSLinux"
OSLinux-OSLinux_LOCALDISK_LOCALDISK-sda_DSKReadWrite,67856,0.005553730393627681,0.4249663654576563,14,dropped,OSLinux,host,disk,unknown,unknown,,disk_io,requires_new_slot,medium,unknown,"Requires new slot 'disk_io'; semantic=disk, unit=unknown, source=OSLinux"
OSLinux-OSLinux_LOCALDISK_LOCALDISK-sda_DSKTps,67854,0.005553566701974956,0.43051993215963125,14,dropped,OSLinux,host,disk,unknown,rate,,disk_io,requires_new_slot,medium,unknown,"Requires new slot 'disk_io'; semantic=disk, unit=rate, source=OSLinux"
OSLinux-CPU_CPU-2_SingleCpuUtil,65146,0.005331928204186349,0.4358518603638176,14,unmapped,OSLinux,host,cpu,ratio,percent,cpu,,map_safe_v2,high,unknown,"Maps to existing slot 'cpu'; semantic=cpu, unit=percent, source=OSLinux"
OSLinux-CPU_CPU-0_SingleCpuUtil,65130,0.005330618670964554,0.4411824790347822,14,unmapped,OSLinux,host,cpu,ratio,percent,cpu,,map_safe_v2,high,unknown,"Maps to existing slot 'cpu'; semantic=cpu, unit=percent, source=OSLinux"
OSLinux-OSLinux_FILESYSTEM_-tmp_FSUsedSpace,59243,0.004848792291170783,0.446031271325953,14,unmapped,OSLinux,host,filesystem,unknown,unknown,,filesystem_usage,requires_new_slot,medium,unknown,"Requires new slot 'filesystem_usage'; semantic=filesystem, unit=unknown, source=OSLinux"
OSLinux-OSLinux_FILESYSTEM_-_FSAvailableSpace,59225,0.0048473190662962655,0.45087859039224926,14,unmapped,OSLinux,host,filesystem,gauge,unknown,,filesystem_usage,requires_new_slot,medium,unknown,"Requires new slot 'filesystem_usage'; semantic=filesystem, unit=unknown, source=OSLinux"
OSLinux-OSLinux_FILESYSTEM_-tmp_FSAvailableSpace,59206,0.004845763995595385,0.45572435438784464,14,unmapped,OSLinux,host,filesystem,gauge,unknown,,filesystem_usage,requires_new_slot,medium,unknown,"Requires new slot 'filesystem_usage'; semantic=filesystem, unit=unknown, source=OSLinux"
OSLinux-OSLinux_FILESYSTEM_-home_FSUsedSpace,59125,0.004839134483660054,0.4605634888715047,14,unmapped,OSLinux,host,filesystem,unknown,unknown,,filesystem_usage,requires_new_slot,medium,unknown,"Requires new slot 'filesystem_usage'; semantic=filesystem, unit=unknown, source=OSLinux"
OSLinux-OSLinux_FILESYSTEM_-boot_FSAvailableSpace,59050,0.004832996046682895,0.46539648491818764,14,unmapped,OSLinux,host,filesystem,gauge,unknown,,filesystem_usage,requires_new_slot,medium,unknown,"Requires new slot 'filesystem_usage'; semantic=filesystem, unit=unknown, source=OSLinux"
OSLinux-OSLinux_FILESYSTEM_-cmbc_admin_FSAvailableSpace,59027,0.004831113592676566,0.4702275985108642,14,unmapped,OSLinux,host,filesystem,gauge,unknown,,filesystem_usage,requires_new_slot,medium,unknown,"Requires new slot 'filesystem_usage'; semantic=filesystem, unit=unknown, source=OSLinux"
OSLinux-OSLinux_FILESYSTEM_-_FSUsedSpace,59022,0.004830704363544756,0.475058302874409,14,unmapped,OSLinux,host,filesystem,unknown,unknown,,filesystem_usage,requires_new_slot,medium,unknown,"Requires new slot 'filesystem_usage'; semantic=filesystem, unit=unknown, source=OSLinux"
OSLinux-OSLinux_FILESYSTEM_-boot_FSUsedSpace,59018,0.004830376980239307,0.4798886798546483,14,unmapped,OSLinux,host,filesystem,unknown,unknown,,filesystem_usage,requires_new_slot,medium,unknown,"Requires new slot 'filesystem_usage'; semantic=filesystem, unit=unknown, source=OSLinux"
OSLinux-OSLinux_FILESYSTEM_-cmbc_admin_FSUsedSpace,59016,0.004830213288586583,0.48471889314323485,14,unmapped,OSLinux,host,filesystem,unknown,unknown,,filesystem_usage,requires_new_slot,medium,unknown,"Requires new slot 'filesystem_usage'; semantic=filesystem, unit=unknown, source=OSLinux"
OSLinux-OSLinux_FILESYSTEM_-home_FSAvailableSpace,59006,0.004829394830322962,0.4895482879735578,14,unmapped,OSLinux,host,filesystem,gauge,unknown,,filesystem_usage,requires_new_slot,medium,unknown,"Requires new slot 'filesystem_usage'; semantic=filesystem, unit=unknown, source=OSLinux"
"Tomcat-Threads_7441-""http-nio-8003""_CurrentThreadCountThreadInfo",56907,0.004657600440788882,0.4942058884143467,4,unmapped,Tomcat,application_server,request,counter,count,,tomcat_requests,requires_new_slot,medium,delta_then_log1p,"Requires new slot 'tomcat_requests'; semantic=request, unit=count, source=Tomcat"
"Tomcat-Requests_7441-""http-nio-8003""_MaxTimeRequestInfo",56906,0.0046575185949625205,0.4988634070093092,4,unmapped,Tomcat,application_server,request,duration,milliseconds,,tomcat_requests,requires_new_slot,medium,unknown,"Requires new slot 'tomcat_requests'; semantic=request, unit=milliseconds, source=Tomcat"
"Tomcat-Requests_7441-""http-nio-8003""_RequestCountRequestInfo",56906,0.0046575185949625205,0.5035209256042718,4,unmapped,Tomcat,application_server,request,counter,count,,tomcat_requests,requires_new_slot,medium,delta_then_log1p,"Requires new slot 'tomcat_requests'; semantic=request, unit=count, source=Tomcat"
"Tomcat-Requests_7441-""http-nio-8003""_ErrorCountRequestInfo",56905,0.0046574367491361585,0.508178362353408,4,unmapped,Tomcat,application_server,request,counter,count,,tomcat_requests,requires_new_slot,medium,delta_then_log1p,"Requires new slot 'tomcat_requests'; semantic=request, unit=count, source=Tomcat"
"Tomcat-Threads_7441-""http-nio-8003""_MaxThreadsThreadInfo",56905,0.0046574367491361585,0.5128357991025442,4,unmapped,Tomcat,application_server,request,counter,count,,tomcat_requests,requires_new_slot,medium,delta_then_log1p,"Requires new slot 'tomcat_requests'; semantic=request, unit=count, source=Tomcat"
"Tomcat-Threads_7441-""http-nio-8003""_CurrentThreadsBusyThreadInfo",56904,0.004657354903309796,0.5174931540058539,4,unmapped,Tomcat,application_server,request,counter,count,,tomcat_requests,requires_new_slot,medium,delta_then_log1p,"Requires new slot 'tomcat_requests'; semantic=request, unit=count, source=Tomcat"
"Tomcat-Requests_7441-""http-nio-8003""_ProcessingTimeRequestInfo",56904,0.004657354903309796,0.5221505089091637,4,unmapped,Tomcat,application_server,request,duration,milliseconds,,tomcat_requests,requires_new_slot,medium,unknown,"Requires new slot 'tomcat_requests'; semantic=request, unit=milliseconds, source=Tomcat"
Tomcat-Sessions_7441--_SESSIONRejectedSessions,56867,0.004654326607734398,0.526804835516898,4,unmapped,Tomcat,application_server,session,counter,count,,sessions,requires_new_slot,medium,delta_then_log1p,"Requires new slot 'sessions'; semantic=session, unit=count, source=Tomcat"
Tomcat-Sessions_7441--UOCP_SESSIONRejectedSessions,56866,0.004654244761908036,0.5314590802788061,4,unmapped,Tomcat,application_server,session,counter,count,,sessions,requires_new_slot,medium,delta_then_log1p,"Requires new slot 'sessions'; semantic=session, unit=count, source=Tomcat"
Tomcat-Sessions_7441--logHome_IS_UNDEFINED_SESSIONKeepaliveCounter,56866,0.004654244761908036,0.5361133250407141,4,unmapped,Tomcat,application_server,session,counter,count,,sessions,requires_new_slot,medium,delta_then_log1p,"Requires new slot 'sessions'; semantic=session, unit=count, source=Tomcat"
Tomcat-Sessions_7441--logHome_IS_UNDEFINED_SESSIONActiveCounter,56865,0.004654162916081674,0.5407674879567957,4,unmapped,Tomcat,application_server,session,counter,count,,sessions,requires_new_slot,medium,delta_then_log1p,"Requires new slot 'sessions'; semantic=session, unit=count, source=Tomcat"
Tomcat-Sessions_7441--UOCP_SESSIONKeepaliveCounter,56865,0.004654162916081674,0.5454216508728774,4,unmapped,Tomcat,application_server,session,counter,count,,sessions,requires_new_slot,medium,delta_then_log1p,"Requires new slot 'sessions'; semantic=session, unit=count, source=Tomcat"
Tomcat-Sessions_7441--_SESSIONActiveCounter,56865,0.004654162916081674,0.5500758137889591,4,unmapped,Tomcat,application_server,session,counter,count,,sessions,requires_new_slot,medium,delta_then_log1p,"Requires new slot 'sessions'; semantic=session, unit=count, source=Tomcat"
Tomcat-Sessions_7441--logHome_IS_UNDEFINED_SESSIONRejectedSessions,56864,0.004654081070255311,0.5547298948592144,4,unmapped,Tomcat,application_server,session,counter,count,,sessions,requires_new_slot,medium,delta_then_log1p,"Requires new slot 'sessions'; semantic=session, unit=count, source=Tomcat"
Tomcat-Sessions_7441--UOCP_SESSIONActiveCounter,56864,0.004654081070255311,0.5593839759294698,4,unmapped,Tomcat,application_server,session,counter,count,,sessions,requires_new_slot,medium,delta_then_log1p,"Requires new slot 'sessions'; semantic=session, unit=count, source=Tomcat"
Tomcat-Sessions_7441--_SESSIONKeepaliveCounter,56862,0.004653917378602587,0.5640378933080723,4,unmapped,Tomcat,application_server,session,counter,count,,sessions,requires_new_slot,medium,delta_then_log1p,"Requires new slot 'sessions'; semantic=session, unit=count, source=Tomcat"
OSLinux-CPU_CPU-1_SingleCpuidle,54324,0.004446192671295539,0.5684840859793678,10,unmapped,OSLinux,host,cpu,unknown,unknown,,,manual_review,low,unknown,"semantic=cpu, unit=unknown, kind=unknown; cannot auto-classify"
OSLinux-CPU_CPU-3_SingleCpuidle,54303,0.004444473908941935,0.5729285598883098,10,unmapped,OSLinux,host,cpu,unknown,unknown,,,manual_review,low,unknown,"semantic=cpu, unit=unknown, kind=unknown; cannot auto-classify"
OSLinux-OSLinux_NETWORK_ens160_NETPacketsIn,49355,0.004039500760102189,0.576968060648412,9,unmapped,OSLinux,host,network,unknown,unknown,,os_network,requires_new_slot,medium,unknown,"Requires new slot 'os_network'; semantic=network, unit=unknown, source=OSLinux"
OSLinux-OSLinux_NETWORK_ens160_NETPacketsOut,49354,0.004039418914275827,0.5810074795626878,9,unmapped,OSLinux,host,network,unknown,unknown,,os_network,requires_new_slot,medium,unknown,"Requires new slot 'os_network'; semantic=network, unit=unknown, source=OSLinux"
OSLinux-OSLinux_NETWORK_ens160_NETKBTotalPerSec,49314,0.004036145081221343,0.5850436246439091,9,unmapped,OSLinux,host,network,gauge,bytes_per_second,,os_network,requires_new_slot,medium,unknown,"Requires new slot 'os_network'; semantic=network, unit=bytes_per_second, source=OSLinux"
OSLinux-CPU_CPU-3_SingleCpuUtil,46614,0.003815161350043632,0.5888587859939528,10,unmapped,OSLinux,host,cpu,ratio,percent,cpu,,map_safe_v2,high,unknown,"Maps to existing slot 'cpu'; semantic=cpu, unit=percent, source=OSLinux"
OSLinux-CPU_CPU-1_SingleCpuUtil,46573,0.003811805671162785,0.5926705916651156,10,unmapped,OSLinux,host,cpu,ratio,percent,cpu,,map_safe_v2,high,unknown,"Maps to existing slot 'cpu'; semantic=cpu, unit=percent, source=OSLinux"
OSLinux-OSLinux_NETWORK_ens160_NETOutErrPrcc,43749,0.0035806730575161723,0.5962512647226318,9,unmapped,OSLinux,host,network,unknown,unknown,,os_network,requires_new_slot,medium,unknown,"Requires new slot 'os_network'; semantic=network, unit=unknown, source=OSLinux"
OSLinux-OSLinux_NETWORK_ens160_NETInErrPrc,43730,0.003579117986815292,0.5998303827094471,9,unmapped,OSLinux,host,network,unknown,unknown,,os_network,requires_new_slot,medium,unknown,"Requires new slot 'os_network'; semantic=network, unit=unknown, source=OSLinux"
OSLinux-OSLinux_FILESYSTEM_-tomcat_FSCapacity,42903,0.003511431488413823,0.6033418141978609,9,unmapped,OSLinux,host,filesystem,gauge,unknown,,filesystem_usage,requires_new_slot,medium,unknown,"Requires new slot 'filesystem_usage'; semantic=filesystem, unit=unknown, source=OSLinux"
OSLinux-OSLinux_FILESYSTEM_-tomcat_FSInodeUsedPercent,42902,0.0035113496425874607,0.6068531638404484,9,unmapped,OSLinux,host,filesystem,ratio,percent,,filesystem_usage,requires_new_slot,medium,identity,"Requires new slot 'filesystem_usage'; semantic=filesystem, unit=percent, source=OSLinux"
Tomcat-Sessions_7441--log.Home_IS_UNDEFINED_SESSIONKeepaliveCounter,42487,0.003477383624647183,0.6103305474650956,3,unmapped,Tomcat,application_server,session,counter,count,,sessions,requires_new_slot,medium,delta_then_log1p,"Requires new slot 'sessions'; semantic=session, unit=count, source=Tomcat"
Tomcat-Sessions_7441--log.Home_IS_UNDEFINED_SESSIONActiveCounter,42487,0.003477383624647183,0.6138079310897429,3,unmapped,Tomcat,application_server,session,counter,count,,sessions,requires_new_slot,medium,delta_then_log1p,"Requires new slot 'sessions'; semantic=session, unit=count, source=Tomcat"
Tomcat-Sessions_7441--log.Home_IS_UNDEFINED_SESSIONRejectedSessions,42484,0.003477138087168097,0.617285069176911,3,unmapped,Tomcat,application_server,session,counter,count,,sessions,requires_new_slot,medium,delta_then_log1p,"Requires new slot 'sessions'; semantic=session, unit=count, source=Tomcat"
OSLinux-OSLinux_NETWORK_ens160_NETBandwidthUtil,40150,0.00328610992843892,0.6205711791053499,9,unmapped,OSLinux,host,network,rate,percent,,os_network,requires_new_slot,medium,log1p,"Requires new slot 'os_network'; semantic=network, unit=percent, source=OSLinux"
OSLinux-OSLinux_FILESYSTEM_-tomcat_FSUsedSpace,38847,0.0031794648166890843,0.6237506439220389,9,unmapped,OSLinux,host,filesystem,unknown,unknown,,filesystem_usage,requires_new_slot,medium,unknown,"Requires new slot 'filesystem_usage'; semantic=filesystem, unit=unknown, source=OSLinux"
OSLinux-OSLinux_NETWORK_ens160_NETOutErr,38844,0.003179219279209998,0.6269298632012489,9,unmapped,OSLinux,host,network,unknown,unknown,,os_network,requires_new_slot,medium,unknown,"Requires new slot 'os_network'; semantic=network, unit=unknown, source=OSLinux"
OSLinux-OSLinux_NETWORK_ens160_NETInErr,38844,0.003179219279209998,0.6301090824804588,9,unmapped,OSLinux,host,network,unknown,unknown,,os_network,requires_new_slot,medium,unknown,"Requires new slot 'os_network'; semantic=network, unit=unknown, source=OSLinux"
